ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2012-01-01,9.344982547992979,6.168829732107661,10.029616014244846,9.344982547992979,9.344982547992979,-0.09762994764280422,-0.09762994764280422,-0.09762994764280422,-0.12088213778893013,-0.12088213778893013,-0.12088213778893013,-0.023252190146125916,-0.023252190146125916,-0.023252190146125916,0.0,0.0,0.0,8.215341079991344
2012-02-01,9.269888982402815,7.328088961454464,11.093369647368599,9.269888982402815,9.269888982402815,0.015820021156401534,0.015820021156401534,0.015820021156401534,-0.007135294918478851,-0.007135294918478851,-0.007135294918478851,-0.022955316074880383,-0.022955316074880383,-0.022955316074880383,0.0,0.0,0.0,9.203745590651813
2012-03-01,9.199640162979758,6.629004238845832,10.50561783965479,9.199640162979758,9.199640162979758,-0.09762994764274806,-0.09762994764274806,-0.09762994764274806,-0.06769490492670666,-0.06769490492670666,-0.06769490492670666,0.029935042716041423,0.029935042716041423,0.029935042716041423,0.0,0.0,0.0,8.576871396786931
2012-04-01,9.124546597389594,7.753607513312025,11.408201292755672,9.124546597389594,9.124546597389594,0.015820021156038068,0.015820021156038068,0.015820021156038068,0.035352058143678214,0.035352058143678214,0.035352058143678214,0.01953203698764015,0.01953203698764015,0.01953203698764015,0.0,0.0,0.0,9.447118099235212
2012-05-01,9.051875404882983,7.959223642269887,11.594966562253722,9.051875404882983,9.051875404882983,0.10900506662373144,0.10900506662373144,0.10900506662373144,0.07719016435001137,0.07719016435001137,0.07719016435001137,-0.031814902273720067,-0.031814902273720067,-0.031814902273720067,0.0,0.0,0.0,9.750591155061727
2012-06-01,8.976781839292821,6.41972927850156,10.046842547801715,8.976781839292821,8.976781839292821,-0.03851241000009225,-0.03851241000009225,-0.03851241000009225,-0.07365265112535847,-0.07365265112535847,-0.07365265112535847,-0.03514024112526623,-0.03514024112526623,-0.03514024112526623,0.0,0.0,0.0,8.315618058254934
2012-07-01,8.904110646585492,6.669091952160716,10.527332709717683,8.904110646585492,8.904110646585492,0.004575210000042256,0.004575210000042256,0.004575210000042256,-0.03423890341464675,-0.03423890341464675,-0.03423890341464675,-0.038814113414689,-0.038814113414689,-0.038814113414689,0.0,0.0,0.0,8.599243662163724
2012-08-01,8.829017080787919,6.769940092078969,10.33171296748186,8.829017080787919,8.829017080787919,-0.07302230152450866,-0.07302230152450866,-0.07302230152450866,-0.04234225005587832,-0.04234225005587832,-0.04234225005587832,0.030680051468630332,0.030680051468630332,0.030680051468630332,0.0,0.0,0.0,8.455176631805577
2012-09-01,8.753923514990346,6.6233349806862245,10.326719723088788,8.753923514990346,8.753923514990346,-0.05257474235721191,-0.05257474235721191,-0.05257474235721191,-0.0381676360673422,-0.0381676360673422,-0.0381676360673422,0.014407106289869711,0.014407106289869711,0.014407106289869711,0.0,0.0,0.0,8.419806948108846
2012-10-01,8.681252322283017,6.8282846745687165,10.571675661173002,8.681252322283017,8.681252322283017,-0.024938904833027693,-0.024938904833027693,-0.024938904833027693,0.0057848516061678144,0.0057848516061678144,0.0057848516061678144,0.030723756439195515,0.030723756439195515,0.030723756439195515,0.0,0.0,0.0,8.731472078723124
2012-11-01,8.606158756485446,7.231598715375566,10.906672574081389,8.606158756485446,8.606158756485446,0.050680034899751175,0.050680034899751175,0.050680034899751175,0.06447794939060078,0.06447794939060078,0.06447794939060078,0.013797914490849605,0.013797914490849605,0.013797914490849605,0.0,0.0,0.0,9.16106622523359
2012-12-01,8.533487563720378,7.9128886123518205,11.782604938543757,8.533487563720378,8.533487563720378,0.12768916510009864,0.12768916510009864,0.12768916510009864,0.1573789409001124,0.1573789409001124,0.1573789409001124,0.029689775800013734,0.029689775800013734,0.029689775800013734,0.0,0.0,0.0,9.876478798682973
2013-01-01,8.458393997863144,7.298604609527067,10.920119403610258,8.458393997863144,8.458393997863144,0.1014689948330852,0.1014689948330852,0.1014689948330852,0.07987830334306976,0.07987830334306976,0.07987830334306976,-0.02159069149001544,-0.02159069149001544,-0.02159069149001544,0.0,0.0,0.0,9.134036159419656
2013-02-01,8.383300432005909,7.229135817306851,11.05796687586026,8.383300432005909,8.383300432005909,0.1090050666237318,0.1090050666237318,0.1090050666237318,0.08873048016871218,0.08873048016871218,0.08873048016871218,-0.020274586455019616,-0.020274586455019616,-0.020274586455019616,0.0,0.0,0.0,9.127154704736364
2013-03-01,8.31547398542518,7.189980153013018,10.942232215921223,8.31547398542518,8.31547398542518,0.05068003489981643,0.05068003489981643,0.05068003489981643,0.08322766941472363,0.08322766941472363,0.08322766941472363,0.03254763451490719,0.03254763451490719,0.03254763451490719,0.0,0.0,0.0,9.007551505310882
2013-04-01,8.240380419567945,5.582821003895287,9.533713661184,8.240380419567945,8.240380419567945,-0.09762994764269542,-0.09762994764269542,-0.09762994764269542,-0.08088915709298099,-0.08088915709298099,-0.08088915709298099,0.016740790549714425,0.016740790549714425,0.016740790549714425,0.0,0.0,0.0,7.573822993303589
2013-05-01,8.167709226957347,6.7515777961784655,10.587389787866277,8.167709226957347,8.167709226957347,0.10146899483309335,0.10146899483309335,0.10146899483309335,0.0694437134002958,0.0694437134002958,0.0694437134002958,-0.032025281432797564,-0.032025281432797564,-0.032025281432797564,0.0,0.0,0.0,8.734905285651125
